team,elo
Paranoia eSports,1403
Make War Not Love,1400
Czech Republic.CS,1399
VexX Gaming eSports,1397
Latvia.CS,1394
Quit,1393
NorthernGrade,1391
ASES,1378
Berzerk,1377
Games4u.se Female,1375
HAXCON,1372
Turkey.CS,1371
eliminacja,1370
OneShot,1359
EVOPLAY,1358
WinOut.NET,1354
A-gaming,1329
Reliable,1321
UNNAMED.CS,1318
Area 51 Gaming,1298
es4x,1292
OnlineBOTS,1254
